year,county,facilityType,vmt,laneMiles,minElast,maxElast
2022,Burlington,Rural Interstate/Primary Arterial,477380,84,0.7,1
2022,Burlington,Rural Minor Arterial,145824,20,0.5,0.7
2022,Burlington,Rural Collector (Major and Minor),193983,94,0.5,0.7
2022,Burlington,Rural Local,191635,311,0.3,0.5
2017,Camden,Urban Interstate/Freeway/Expressway,3778453,144,0.7,1
2017,Camden,Urban Primary Arterial,3331349,305,0.7,1
2017,Camden,Urban Minor Arterial,2056393,237,0.5,0.7
2017,Camden,Urban Collector (Major and Minor),657438,181,0.5,0.7
2017,Camden,Urban Local,1444965,1440,0.3,0.5
2017,Camden,Rural Interstate/Primary Arterial,72981,6,0.7,1
2017,Camden,Rural Minor Arterial,16861,3,0.5,0.7
2017,Camden,Rural Collector (Major and Minor),9329,5,0.5,0.7
2017,Camden,Rural Local,10411,18,0.3,0.5
2018,Camden,Urban Interstate/Freeway/Expressway,3782668,144,0.7,1
2018,Camden,Urban Primary Arterial,3307164,305,0.7,1
2018,Camden,Urban Minor Arterial,2061831,237,0.5,0.7
2018,Camden,Urban Collector (Major and Minor),629680,181,0.5,0.7
2018,Camden,Urban Local,1450139,1440,0.3,0.5
2018,Camden,Rural Interstate/Primary Arterial,72251,6,0.7,1
2018,Camden,Rural Minor Arterial,17005,3,0.5,0.7
2018,Camden,Rural Collector (Major and Minor),9414,5,0.5,0.7
2018,Camden,Rural Local,11107,18,0.3,0.5
2019,Camden,Urban Interstate/Freeway/Expressway,3835435,144,0.7,1
2019,Camden,Urban Primary Arterial,3289597,305,0.7,1
2019,Camden,Urban Minor Arterial,2065242,237,0.5,0.7
2019,Camden,Urban Collector (Major and Minor),648283,181,0.5,0.7
2019,Camden,Urban Local,1476246,1440,0.3,0.5
2019,Camden,Rural Interstate/Primary Arterial,67340,6,0.7,1
2019,Camden,Rural Minor Arterial,17702,3,0.5,0.7
2019,Camden,Rural Collector (Major and Minor),9519,5,0.5,0.7
2019,Camden,Rural Local,11569,18,0.3,0.5
2020,Camden,Urban Interstate/Freeway/Expressway,3284810,144,0.7,1
2020,Camden,Urban Primary Arterial,2822824,305,0.7,1
2020,Camden,Urban Minor Arterial,1875454,237,0.5,0.7
2020,Camden,Urban Collector (Major and Minor),590472,181,0.5,0.7
2020,Camden,Urban Local,1258012,1441,0.3,0.5
2020,Camden,Rural Interstate/Primary Arterial,73669,6,0.7,1
2020,Camden,Rural Minor Arterial,18425,3,0.5,0.7
2020,Camden,Rural Collector (Major and Minor),8795,5,0.5,0.7
2020,Camden,Rural Local,9642,18,0.3,0.5
2021,Camden,Urban Interstate/Freeway/Expressway,3768276,144,0.7,1
2021,Camden,Urban Primary Arterial,3210970,305,0.7,1
2021,Camden,Urban Minor Arterial,1878664,237,0.5,0.7
2021,Camden,Urban Collector (Major and Minor),599243,181,0.5,0.7
2021,Camden,Urban Local,1405713,1441,0.3,0.5
2021,Camden,Rural Interstate/Primary Arterial,79620,6,0.7,1
2021,Camden,Rural Minor Arterial,18506,3,0.5,0.7
2021,Camden,Rural Collector (Major and Minor),9261,5,0.5,0.7
2021,Camden,Rural Local,10792,18,0.3,0.5
2022,Camden,Urban Interstate/Freeway/Expressway,3792511,144,0.7,1
2022,Camden,Urban Primary Arterial,3164822,305,0.7,1
2022,Camden,Urban Minor Arterial,1862588,237,0.5,0.7
2022,Camden,Urban Collector (Major and Minor),641117,181,0.5,0.7
2022,Camden,Urban Local,1436796,1441,0.3,0.5
2022,Camden,Rural Interstate/Primary Arterial,80648,6,0.7,1
2022,Camden,Rural Minor Arterial,18012,3,0.5,0.7
2022,Camden,Rural Collector (Major and Minor),8827,5,0.5,0.7
2022,Camden,Rural Local,11019,18,0.3,0.5
2017,Cape May,Urban Interstate/Freeway/Expressway,596541,69,0.7,1
2017,Cape May,Urban Primary Arterial,251559,60,0.7,1
2017,Cape May,Urban Minor Arterial,703148,88,0.5,0.7
2017,Cape May,Urban Collector (Major and Minor),321672,90,0.5,0.7
2017,Cape May,Urban Local,587959,637,0.3,0.5
2017,Cape May,Rural Interstate/Primary Arterial,220734,39,0.7,1
2017,Cape May,Rural Minor Arterial,161615,25,0.5,0.7
2017,Cape May,Rural Collector (Major and Minor),125126,39,0.5,0.7
2017,Cape May,Rural Local,61979,107,0.3,0.5
2018,Cape May,Urban Interstate/Freeway/Expressway,594899,69,0.7,1
2018,Cape May,Urban Primary Arterial,247111,60,0.7,1
2018,Cape May,Urban Minor Arterial,710363,88,0.5,0.7
2018,Cape May,Urban Collector (Major and Minor),322305,90,0.5,0.7
2018,Cape May,Urban Local,596308,638,0.3,0.5
2018,Cape May,Rural Interstate/Primary Arterial,218521,39,0.7,1
2018,Cape May,Rural Minor Arterial,168553,25,0.5,0.7
2018,Cape May,Rural Collector (Major and Minor),123609,39,0.5,0.7
2018,Cape May,Rural Local,66125,107,0.3,0.5
2019,Cape May,Urban Interstate/Freeway/Expressway,590442,69,0.7,1
2019,Cape May,Urban Primary Arterial,236900,60,0.7,1
2019,Cape May,Urban Minor Arterial,707623,88,0.5,0.7
2019,Cape May,Urban Collector (Major and Minor),322204,90,0.5,0.7
2019,Cape May,Urban Local,612635,638,0.3,0.5
2019,Cape May,Rural Interstate/Primary Arterial,229213,39,0.7,1
2019,Cape May,Rural Minor Arterial,168893,25,0.5,0.7
2019,Cape May,Rural Collector (Major and Minor),117647,39,0.5,0.7
2019,Cape May,Rural Local,68880,107,0.3,0.5
2020,Cape May,Urban Interstate/Freeway/Expressway,536067,69,0.7,1
2020,Cape May,Urban Primary Arterial,245821,60,0.7,1
2020,Cape May,Urban Minor Arterial,673950,88,0.5,0.7
2020,Cape May,Urban Collector (Major and Minor),312669,90,0.5,0.7
2020,Cape May,Urban Local,569002,638,0.3,0.5
2020,Cape May,Rural Interstate/Primary Arterial,219561,39,0.7,1
2020,Cape May,Rural Minor Arterial,156720,25,0.5,0.7
2020,Cape May,Rural Collector (Major and Minor),115900,39,0.5,0.7
2020,Cape May,Rural Local,57406,107,0.3,0.5
2021,Cape May,Urban Interstate/Freeway/Expressway,616789,69,0.7,1
2021,Cape May,Urban Primary Arterial,252357,60,0.7,1
2021,Cape May,Urban Minor Arterial,730281,88,0.5,0.7
2021,Cape May,Urban Collector (Major and Minor),333785,90,0.5,0.7
2021,Cape May,Urban Local,618244,638,0.3,0.5
2021,Cape May,Rural Interstate/Primary Arterial,246703,39,0.7,1
2021,Cape May,Rural Minor Arterial,163633,25,0.5,0.7
2021,Cape May,Rural Collector (Major and Minor),114428,39,0.5,0.7
2021,Cape May,Rural Local,64250,107,0.3,0.5
2022,Cape May,Urban Interstate/Freeway/Expressway,602520,69,0.7,1
2022,Cape May,Urban Primary Arterial,251793,60,0.7,1
2022,Cape May,Urban Minor Arterial,684550,88,0.5,0.7
2022,Cape May,Urban Collector (Major and Minor),339768,90,0.5,0.7
2022,Cape May,Urban Local,605484,638,0.3,0.5
2022,Cape May,Rural Interstate/Primary Arterial,244313,39,0.7,1
2022,Cape May,Rural Minor Arterial,163267,25,0.5,0.7
2022,Cape May,Rural Collector (Major and Minor),118368,39,0.5,0.7
2022,Cape May,Rural Local,65599,107,0.3,0.5
2017,Cumberland,Urban Interstate/Freeway/Expressway,484520,51,0.7,1
2017,Cumberland,Urban Primary Arterial,179226,43,0.7,1
2017,Cumberland,Urban Minor Arterial,1187529,156,0.5,0.7
2017,Cumberland,Urban Collector (Major and Minor),364489,91,0.5,0.7
2017,Cumberland,Urban Local,429036,545,0.3,0.5
2017,Cumberland,Rural Interstate/Primary Arterial,146378,39,0.7,1
2017,Cumberland,Rural Minor Arterial,171617,47,0.5,0.7
2017,Cumberland,Rural Collector (Major and Minor),130360,98,0.5,0.7
2017,Cumberland,Rural Local,193444,333,0.3,0.5
2018,Cumberland,Urban Interstate/Freeway/Expressway,499996,51,0.7,1
2018,Cumberland,Urban Primary Arterial,173397,43,0.7,1
2018,Cumberland,Urban Minor Arterial,1175987,156,0.5,0.7
2018,Cumberland,Urban Collector (Major and Minor),363372,91,0.5,0.7
2018,Cumberland,Urban Local,453432,545,0.3,0.5
2018,Cumberland,Rural Interstate/Primary Arterial,140950,39,0.7,1
2018,Cumberland,Rural Minor Arterial,170637,47,0.5,0.7
2018,Cumberland,Rural Collector (Major and Minor),125917,98,0.5,0.7
2018,Cumberland,Rural Local,206368,333,0.3,0.5
2019,Cumberland,Urban Interstate/Freeway/Expressway,519764,51,0.7,1
2019,Cumberland,Urban Primary Arterial,174827,43,0.7,1
2019,Cumberland,Urban Minor Arterial,1206912,156,0.5,0.7
2019,Cumberland,Urban Collector (Major and Minor),357406,91,0.5,0.7
2019,Cumberland,Urban Local,463245,545,0.3,0.5
2019,Cumberland,Rural Interstate/Primary Arterial,146460,39,0.7,1
2019,Cumberland,Rural Minor Arterial,169150,47,0.5,0.7
2019,Cumberland,Rural Collector (Major and Minor),130713,98,0.5,0.7
2019,Cumberland,Rural Local,214966,333,0.3,0.5
2020,Cumberland,Urban Interstate/Freeway/Expressway,434969,51,0.7,1
2020,Cumberland,Urban Primary Arterial,158955,43,0.7,1
2020,Cumberland,Urban Minor Arterial,1046839,156,0.5,0.7
2020,Cumberland,Urban Collector (Major and Minor),351034,91,0.5,0.7
2020,Cumberland,Urban Local,405988,546,0.3,0.5
2020,Cumberland,Rural Interstate/Primary Arterial,134469,39,0.7,1
2020,Cumberland,Rural Minor Arterial,143088,47,0.5,0.7
2020,Cumberland,Rural Collector (Major and Minor),123572,98,0.5,0.7
2020,Cumberland,Rural Local,179157,333,0.3,0.5
2021,Cumberland,Urban Interstate/Freeway/Expressway,507646,51,0.7,1
2021,Cumberland,Urban Primary Arterial,178473,43,0.7,1
2021,Cumberland,Urban Minor Arterial,1147186,156,0.5,0.7
2021,Cumberland,Urban Collector (Major and Minor),346570,91,0.5,0.7
