year,county,facilityType,vmt,laneMiles,minElast,maxElast
2022,Gloucester,Urban Primary Arterial,1410430,195,0.7,1
2022,Gloucester,Urban Minor Arterial,1607313,207,0.5,0.7
2022,Gloucester,Urban Collector (Major and Minor),692049,176,0.5,0.7
2022,Gloucester,Urban Local,1116322,1120,0.3,0.5
2022,Gloucester,Rural Interstate/Primary Arterial,0,0,0.7,1
2022,Gloucester,Rural Minor Arterial,22573,7,0.5,0.7
2022,Gloucester,Rural Collector (Major and Minor),81964,21,0.5,0.7
2022,Gloucester,Rural Local,36615,59,0.3,0.5
2017,Hudson,Urban Interstate/Freeway/Expressway,2762379,87,0.7,1
2017,Hudson,Urban Primary Arterial,1316320,95,0.7,1
2017,Hudson,Urban Minor Arterial,922391,97,0.5,0.7
2017,Hudson,Urban Collector (Major and Minor),525820,80,0.5,0.7
2017,Hudson,Urban Local,586055,389,0.3,0.5
2017,Hudson,Rural Interstate/Primary Arterial,0,0,0.7,1
2017,Hudson,Rural Minor Arterial,0,0,0.5,0.7
2017,Hudson,Rural Collector (Major and Minor),0,0,0.5,0.7
2017,Hudson,Rural Local,0,0,0.3,0.5
2018,Hudson,Urban Interstate/Freeway/Expressway,2785723,87,0.7,1
2018,Hudson,Urban Primary Arterial,1179330,95,0.7,1
2018,Hudson,Urban Minor Arterial,1041244,97,0.5,0.7
2018,Hudson,Urban Collector (Major and Minor),521746,80,0.5,0.7
2018,Hudson,Urban Local,601677,395,0.3,0.5
2018,Hudson,Rural Interstate/Primary Arterial,0,0,0.7,1
2018,Hudson,Rural Minor Arterial,0,0,0.5,0.7
2018,Hudson,Rural Collector (Major and Minor),0,0,0.5,0.7
2018,Hudson,Rural Local,0,0,0.3,0.5
2019,Hudson,Urban Interstate/Freeway/Expressway,2954620,87,0.7,1
2019,Hudson,Urban Primary Arterial,1239565,95,0.7,1
2019,Hudson,Urban Minor Arterial,1067232,97,0.5,0.7
2019,Hudson,Urban Collector (Major and Minor),536825,80,0.5,0.7
2019,Hudson,Urban Local,578494,395,0.3,0.5
2019,Hudson,Rural Interstate/Primary Arterial,0,0,0.7,1
2019,Hudson,Rural Minor Arterial,0,0,0.5,0.7
2019,Hudson,Rural Collector (Major and Minor),0,0,0.5,0.7
2019,Hudson,Rural Local,0,0,0.3,0.5
2020,Hudson,Urban Interstate/Freeway/Expressway,2168928,87,0.7,1
2020,Hudson,Urban Primary Arterial,1190646,95,0.7,1
2020,Hudson,Urban Minor Arterial,917744,97,0.5,0.7
2020,Hudson,Urban Collector (Major and Minor),419768,80,0.5,0.7
2020,Hudson,Urban Local,489177,395,0.3,0.5
2020,Hudson,Rural Interstate/Primary Arterial,0,0,0.7,1
2020,Hudson,Rural Minor Arterial,0,0,0.5,0.7
2020,Hudson,Rural Collector (Major and Minor),0,0,0.5,0.7
2020,Hudson,Rural Local,0,0,0.3,0.5
2021,Hudson,Urban Interstate/Freeway/Expressway,2483845,87,0.7,1
2021,Hudson,Urban Primary Arterial,1331117,95,0.7,1
2021,Hudson,Urban Minor Arterial,987609,97,0.5,0.7
2021,Hudson,Urban Collector (Major and Minor),442693,80,0.5,0.7
2021,Hudson,Urban Local,563602,395,0.3,0.5
2021,Hudson,Rural Interstate/Primary Arterial,0,0,0.7,1
2021,Hudson,Rural Minor Arterial,0,0,0.5,0.7
2021,Hudson,Rural Collector (Major and Minor),0,0,0.5,0.7
2021,Hudson,Rural Local,0,0,0.3,0.5
2022,Hudson,Urban Interstate/Freeway/Expressway,2553836,87,0.7,1
2022,Hudson,Urban Primary Arterial,1320512,95,0.7,1
2022,Hudson,Urban Minor Arterial,1042465,97,0.5,0.7
2022,Hudson,Urban Collector (Major and Minor),428398,80,0.5,0.7
2022,Hudson,Urban Local,582422,395,0.3,0.5
2022,Hudson,Rural Interstate/Primary Arterial,0,0,0.7,1
2022,Hudson,Rural Minor Arterial,0,0,0.5,0.7
2022,Hudson,Rural Collector (Major and Minor),0,0,0.5,0.7
2022,Hudson,Rural Local,0,0,0.3,0.5
2017,Hunterdon,Urban Interstate/Freeway/Expressway,1300114,39,0.7,1
2017,Hunterdon,Urban Primary Arterial,1177084,108,0.7,1
2017,Hunterdon,Urban Minor Arterial,326423,46,0.5,0.7
2017,Hunterdon,Urban Collector (Major and Minor),211566,60,0.5,0.7
2017,Hunterdon,Urban Local,520754,417,0.3,0.5
2017,Hunterdon,Rural Interstate/Primary Arterial,954246,48,0.7,1
2017,Hunterdon,Rural Minor Arterial,274610,58,0.5,0.7
2017,Hunterdon,Rural Collector (Major and Minor),395520,169,0.5,0.7
2017,Hunterdon,Rural Local,372145,640,0.3,0.5
2018,Hunterdon,Urban Interstate/Freeway/Expressway,1329272,39,0.7,1
2018,Hunterdon,Urban Primary Arterial,1193432,108,0.7,1
2018,Hunterdon,Urban Minor Arterial,317986,46,0.5,0.7
2018,Hunterdon,Urban Collector (Major and Minor),217782,60,0.5,0.7
2018,Hunterdon,Urban Local,502445,417,0.3,0.5
2018,Hunterdon,Rural Interstate/Primary Arterial,897523,48,0.7,1
2018,Hunterdon,Rural Minor Arterial,267958,58,0.5,0.7
2018,Hunterdon,Rural Collector (Major and Minor),377939,169,0.5,0.7
2018,Hunterdon,Rural Local,397007,640,0.3,0.5
2019,Hunterdon,Urban Interstate/Freeway/Expressway,1348220,39,0.7,1
2019,Hunterdon,Urban Primary Arterial,1176545,108,0.7,1
2019,Hunterdon,Urban Minor Arterial,319495,46,0.5,0.7
2019,Hunterdon,Urban Collector (Major and Minor),217843,60,0.5,0.7
2019,Hunterdon,Urban Local,482552,419,0.3,0.5
2019,Hunterdon,Rural Interstate/Primary Arterial,909844,48,0.7,1
2019,Hunterdon,Rural Minor Arterial,271234,58,0.5,0.7
2019,Hunterdon,Rural Collector (Major and Minor),390414,169,0.5,0.7
2019,Hunterdon,Rural Local,413677,640,0.3,0.5
2020,Hunterdon,Urban Interstate/Freeway/Expressway,1176358,39,0.7,1
2020,Hunterdon,Urban Primary Arterial,974581,108,0.7,1
2020,Hunterdon,Urban Minor Arterial,289270,46,0.5,0.7
2020,Hunterdon,Urban Collector (Major and Minor),191306,60,0.5,0.7
2020,Hunterdon,Urban Local,415012,419,0.3,0.5
2020,Hunterdon,Rural Interstate/Primary Arterial,692583,48,0.7,1
2020,Hunterdon,Rural Minor Arterial,234972,58,0.5,0.7
2020,Hunterdon,Rural Collector (Major and Minor),329749,169,0.5,0.7
2020,Hunterdon,Rural Local,344938,640,0.3,0.5
2021,Hunterdon,Urban Interstate/Freeway/Expressway,1095831,39,0.7,1
2021,Hunterdon,Urban Primary Arterial,986660,108,0.7,1
2021,Hunterdon,Urban Minor Arterial,278456,46,0.5,0.7
2021,Hunterdon,Urban Collector (Major and Minor),200207,60,0.5,0.7
2021,Hunterdon,Urban Local,465978,419,0.3,0.5
2021,Hunterdon,Rural Interstate/Primary Arterial,764170,48,0.7,1
2021,Hunterdon,Rural Minor Arterial,261847,58,0.5,0.7
2021,Hunterdon,Rural Collector (Major and Minor),356058,169,0.5,0.7
2021,Hunterdon,Rural Local,386094,640,0.3,0.5
2022,Hunterdon,Urban Interstate/Freeway/Expressway,1096001,39,0.7,1
2022,Hunterdon,Urban Primary Arterial,1074950,107.5,0.7,1
2022,Hunterdon,Urban Minor Arterial,274319,46,0.5,0.7
2022,Hunterdon,Urban Collector (Major and Minor),208076,60,0.5,0.7
2022,Hunterdon,Urban Local,485392,419,0.3,0.5
2022,Hunterdon,Rural Interstate/Primary Arterial,789552,48,0.7,1
2022,Hunterdon,Rural Minor Arterial,260974,58,0.5,0.7
2022,Hunterdon,Rural Collector (Major and Minor),372436,169,0.5,0.7
2022,Hunterdon,Rural Local,394201,640,0.3,0.5
2017,Mercer,Urban Interstate/Freeway/Expressway,3921663,165,0.7,1
2017,Mercer,Urban Primary Arterial,2004498,213,0.7,1
2017,Mercer,Urban Minor Arterial,1741601,185,0.5,0.7
2017,Mercer,Urban Collector (Major and Minor),726879,181,0.5,0.7
2017,Mercer,Urban Local,990281,932,0.3,0.5
2017,Mercer,Rural Interstate/Primary Arterial,519475,24,0.7,1
2017,Mercer,Rural Minor Arterial,59208,9,0.5,0.7
2017,Mercer,Rural Collector (Major and Minor),81330,26,0.5,0.7
2017,Mercer,Rural Local,32839,56,0.3,0.5
2018,Mercer,Urban Interstate/Freeway/Expressway,3972174,165,0.7,1
2018,Mercer,Urban Primary Arterial,1916041,213,0.7,1
2018,Mercer,Urban Minor Arterial,1765069,185,0.5,0.7
2018,Mercer,Urban Collector (Major and Minor),733448,181,0.5,0.7
2018,Mercer,Urban Local,831103,934,0.3,0.5
2018,Mercer,Rural Interstate/Primary Arterial,522771,24,0.7,1
2018,Mercer,Rural Minor Arterial,64175,9,0.5,0.7
2018,Mercer,Rural Collector (Major and Minor),63882,25,0.5,0.7
2018,Mercer,Rural Local,35033,56,0.3,0.5
2019,Mercer,Urban Interstate/Freeway/Expressway,4149679,165,0.7,1
2019,Mercer,Urban Primary Arterial,1948218,213,0.7,1
2019,Mercer,Urban Minor Arterial,1838686,185,0.5,0.7
2019,Mercer,Urban Collector (Major and Minor),728816,181,0.5,0.7
2019,Mercer,Urban Local,821999,934,0.3,0.5
2019,Mercer,Rural Interstate/Primary Arterial,542077,24,0.7,1
2019,Mercer,Rural Minor Arterial,67575,9,0.5,0.7
2019,Mercer,Rural Collector (Major and Minor),63638,25,0.5,0.7
2019,Mercer,Rural Local,36492,56,0.3,0.5
2020,Mercer,Urban Interstate/Freeway/Expressway,3125506,165,0.7,1
2020,Mercer,Urban Primary Arterial,1829486,213,0.7,1
2020,Mercer,Urban Minor Arterial,1594676,185,0.5,0.7
2020,Mercer,Urban Collector (Major and Minor),685246,181,0.5,0.7
2020,Mercer,Urban Local,722067,939,0.3,0.5
2020,Mercer,Rural Interstate/Primary Arterial,414330,24,0.7,1
2020,Mercer,Rural Minor Arterial,67475,9,0.5,0.7
2020,Mercer,Rural Collector (Major and Minor),57378,25,0.5,0.7
2020,Mercer,Rural Local,30413,56,0.3,0.5
2021,Mercer,Urban Interstate/Freeway/Expressway,3728066,165,0.7,1
2021,Mercer,Urban Primary Arterial,2079628,213,0.7,1
2021,Mercer,Urban Minor Arterial,1606807,185,0.5,0.7
2021,Mercer,Urban Collector (Major and Minor),657228,181,0.5,0.7
2021,Mercer,Urban Local,815344,938,0.3,0.5
2021,Mercer,Rural Interstate/Primary Arterial,510732,24,0.7,1
2021,Mercer,Rural Minor Arterial,73241,9,0.5,0.7
2021,Mercer,Rural Collector (Major and Minor),58438,25,0.5,0.7
2021,Mercer,Rural Local,34041,56,0.3,0.5
2022,Mercer,Urban Interstate/Freeway/Expressway,3851820,165,0.7,1
2022,Mercer,Urban Primary Arterial,1987552,212.5,0.7,1
2022,Mercer,Urban Minor Arterial,1589707,185,0.5,0.7
2022,Mercer,Urban Collector (Major and Minor),647145,181,0.5,0.7
2022,Mercer,Urban Local,800989,938,0.3,0.5
2022,Mercer,Rural Interstate/Primary Arterial,520918,24,0.7,1
2022,Mercer,Rural Minor Arterial,66083,9,0.5,0.7
2022,Mercer,Rural Collector (Major and Minor),56931,25,0.5,0.7
2022,Mercer,Rural Local,34756,56,0.3,0.5
2017,Middlesex,Urban Interstate/Freeway/Expressway,10103706,186,0.7,1
2017,Middlesex,Urban Primary Arterial,6114822,410,0.7,1
2017,Middlesex,Urban Minor Arterial,2497787,286,0.5,0.7
2017,Middlesex,Urban Collector (Major and Minor),1675019,276,0.5,0.7
2017,Middlesex,Urban Local,2667017,1770,0.3,0.5
2017,Middlesex,Rural Interstate/Primary Arterial,207609,6,0.7,1
2017,Middlesex,Rural Minor Arterial,13423,3,0.5,0.7
2017,Middlesex,Rural Collector (Major and Minor),43114,6,0.5,0.7
2017,Middlesex,Rural Local,6916,12,0.3,0.5
2018,Middlesex,Urban Interstate/Freeway/Expressway,9977124,186,0.7,1
2018,Middlesex,Urban Primary Arterial,6256799,410,0.7,1
2018,Middlesex,Urban Minor Arterial,2515252,286,0.5,0.7
2018,Middlesex,Urban Collector (Major and Minor),1551243,276,0.5,0.7
2018,Middlesex,Urban Local,2702149,1774,0.3,0.5
2018,Middlesex,Rural Interstate/Primary Arterial,217797,6,0.7,1
2018,Middlesex,Rural Minor Arterial,17890,3,0.5,0.7
2018,Middlesex,Rural Collector (Major and Minor),12927,6,0.5,0.7
2018,Middlesex,Rural Local,7378,12,0.3,0.5
2019,Middlesex,Urban Interstate/Freeway/Expressway,10241706,186,0.7,1
2019,Middlesex,Urban Primary Arterial,6307028,410,0.7,1
2019,Middlesex,Urban Minor Arterial,2562558,286,0.5,0.7
2019,Middlesex,Urban Collector (Major and Minor),1592069,276,0.5,0.7
2019,Middlesex,Urban Local,2606247,1780,0.3,0.5
2019,Middlesex,Rural Interstate/Primary Arterial,223902,6,0.7,1
2019,Middlesex,Rural Minor Arterial,18545,3,0.5,0.7
2019,Middlesex,Rural Collector (Major and Minor),13206,6,0.5,0.7
2019,Middlesex,Rural Local,7685,12,0.3,0.5
2020,Middlesex,Urban Interstate/Freeway/Expressway,7798116,186,0.7,1
2020,Middlesex,Urban Primary Arterial,5225256,410,0.7,1
2020,Middlesex,Urban Minor Arterial,2144934,286,0.5,0.7
2020,Middlesex,Urban Collector (Major and Minor),1494967,276,0.5,0.7
2020,Middlesex,Urban Local,2215701,1789,0.3,0.5
2020,Middlesex,Rural Interstate/Primary Arterial,174148,6,0.7,1
2020,Middlesex,Rural Minor Arterial,18705,3,0.5,0.7
2020,Middlesex,Rural Collector (Major and Minor),12147,6,0.5,0.7
2020,Middlesex,Rural Local,8732,16,0.3,0.5
2021,Middlesex,Urban Interstate/Freeway/Expressway,9279779,186,0.7,1
2021,Middlesex,Urban Primary Arterial,5993527,410,0.7,1
2021,Middlesex,Urban Minor Arterial,2441486,286,0.5,0.7
2021,Middlesex,Urban Collector (Major and Minor),1429669,276,0.5,0.7
2021,Middlesex,Urban Local,2553405,1790,0.3,0.5
2021,Middlesex,Rural Interstate/Primary Arterial,212192,6,0.7,1
2021,Middlesex,Rural Minor Arterial,20154,3,0.5,0.7
2021,Middlesex,Rural Collector (Major and Minor),12082,6,0.5,0.7
2021,Middlesex,Rural Local,9773,16,0.3,0.5
2022,Middlesex,Urban Interstate/Freeway/Expressway,9717348,186,0.7,1
2022,Middlesex,Urban Primary Arterial,6108832,410,0.7,1
2022,Middlesex,Urban Minor Arterial,2633673,286,0.5,0.7
2022,Middlesex,Urban Collector (Major and Minor),1342874,276,0.5,0.7
2022,Middlesex,Urban Local,2638819,1790,0.3,0.5
2022,Middlesex,Rural Interstate/Primary Arterial,217380,6,0.7,1
2022,Middlesex,Rural Minor Arterial,17944,3,0.5,0.7
2022,Middlesex,Rural Collector (Major and Minor),11533,6,0.5,0.7
2022,Middlesex,Rural Local,9979,16,0.3,0.5
2017,Monmouth,Urban Interstate/Freeway/Expressway,6205122,213,0.7,1
2017,Monmouth,Urban Primary Arterial,3887946,360,0.7,1
2017,Monmouth,Urban Minor Arterial,2199593,262,0.5,0.7
2017,Monmouth,Urban Collector (Major and Minor),1622340,318,0.5,0.7
2017,Monmouth,Urban Local,3753162,2491,0.3,0.5
2017,Monmouth,Rural Interstate/Primary Arterial,391125,24,0.7,1
2017,Monmouth,Rural Minor Arterial,42570,4,0.5,0.7
2017,Monmouth,Rural Collector (Major and Minor),184483,53,0.5,0.7
2017,Monmouth,Rural Local,96033,165,0.3,0.5
2018,Monmouth,Urban Interstate/Freeway/Expressway,6116865,213,0.7,1
2018,Monmouth,Urban Primary Arterial,3875210,360,0.7,1
2018,Monmouth,Urban Minor Arterial,2268073,262,0.5,0.7
2018,Monmouth,Urban Collector (Major and Minor),1703547,318,0.5,0.7
2018,Monmouth,Urban Local,3797053,2493,0.3,0.5
2018,Monmouth,Rural Interstate/Primary Arterial,441524,24,0.7,1
2018,Monmouth,Rural Minor Arterial,41765,4,0.5,0.7
2018,Monmouth,Rural Collector (Major and Minor),174626,53,0.5,0.7
2018,Monmouth,Rural Local,102449,165,0.3,0.5
2019,Monmouth,Urban Interstate/Freeway/Expressway,6130052,213,0.7,1
2019,Monmouth,Urban Primary Arterial,3897051,360,0.7,1
2019,Monmouth,Urban Minor Arterial,2262944,262,0.5,0.7
2019,Monmouth,Urban Collector (Major and Minor),1789181,318,0.5,0.7
2019,Monmouth,Urban Local,3650427,2493,0.3,0.5
2019,Monmouth,Rural Interstate/Primary Arterial,465898,24,0.7,1
2019,Monmouth,Rural Minor Arterial,42050,4,0.5,0.7
2019,Monmouth,Rural Collector (Major and Minor),179907,53,0.5,0.7
2019,Monmouth,Rural Local,106717,165,0.3,0.5
2020,Monmouth,Urban Interstate/Freeway/Expressway,5027420,213,0.7,1
2020,Monmouth,Urban Primary Arterial,3383604,360,0.7,1
2020,Monmouth,Urban Minor Arterial,2127152,262,0.5,0.7
2020,Monmouth,Urban Collector (Major and Minor),1381491,318,0.5,0.7
2020,Monmouth,Urban Local,3087408,2493,0.3,0.5
2020,Monmouth,Rural Interstate/Primary Arterial,364714,24,0.7,1
2020,Monmouth,Rural Minor Arterial,37937,4,0.5,0.7
2020,Monmouth,Rural Collector (Major and Minor),155494,53,0.5,0.7
2020,Monmouth,Rural Local,89990,167,0.3,0.5
2021,Monmouth,Urban Interstate/Freeway/Expressway,5626514,213,0.7,1
2021,Monmouth,Urban Primary Arterial,3697427,360,0.7,1
2021,Monmouth,Urban Minor Arterial,2047537,262,0.5,0.7
2021,Monmouth,Urban Collector (Major and Minor),1536659,318,0.5,0.7
2021,Monmouth,Urban Local,3397595,2382,0.3,0.5
2021,Monmouth,Rural Interstate/Primary Arterial,415271,24,0.7,1
2021,Monmouth,Rural Minor Arterial,41808,4,0.5,0.7
2021,Monmouth,Rural Collector (Major and Minor),172178,53,0.5,0.7
2021,Monmouth,Rural Local,100728,167,0.3,0.5
2022,Monmouth,Urban Interstate/Freeway/Expressway,5725461,213,0.7,1
2022,Monmouth,Urban Primary Arterial,3797870,360,0.7,1
2022,Monmouth,Urban Minor Arterial,2039725,263,0.5,0.7
2022,Monmouth,Urban Collector (Major and Minor),1514219,318,0.5,0.7
2022,Monmouth,Urban Local,3511907,2382,0.3,0.5
2022,Monmouth,Rural Interstate/Primary Arterial,427312,24,0.7,1
2022,Monmouth,Rural Minor Arterial,41494,4,0.5,0.7
2022,Monmouth,Rural Collector (Major and Minor),166564,53,0.5,0.7
2022,Monmouth,Rural Local,103022,167,0.3,0.5
2017,Morris,Urban Interstate/Freeway/Expressway,6330056,186,0.7,1
2017,Morris,Urban Primary Arterial,2863385,253,0.7,1
2017,Morris,Urban Minor Arterial,1642955,279,0.5,0.7
2017,Morris,Urban Collector (Major and Minor),961508,260,0.5,0.7
2017,Morris,Urban Local,2662376,1767,0.3,0.5
2017,Morris,Rural Interstate/Primary Arterial,54684,6,0.7,1
2017,Morris,Rural Minor Arterial,7097,1,0.5,0.7
2017,Morris,Rural Collector (Major and Minor),65769,27,0.5,0.7
2017,Morris,Rural Local,56302,97,0.3,0.5
2018,Morris,Urban Interstate/Freeway/Expressway,6271946,186,0.7,1
2018,Morris,Urban Primary Arterial,2818220,253,0.7,1
2018,Morris,Urban Minor Arterial,1775495,279,0.5,0.7
2018,Morris,Urban Collector (Major and Minor),1020157,260,0.5,0.7
2018,Morris,Urban Local,2690849,1767,0.3,0.5
2018,Morris,Rural Interstate/Primary Arterial,55081,6,0.7,1
2018,Morris,Rural Minor Arterial,7088,1,0.5,0.7
2018,Morris,Rural Collector (Major and Minor),66650,27,0.5,0.7
2018,Morris,Rural Local,60063,97,0.3,0.5
2019,Morris,Urban Interstate/Freeway/Expressway,6282806,186,0.7,1
2019,Morris,Urban Primary Arterial,2838376,253,0.7,1
2019,Morris,Urban Minor Arterial,1828586,279,0.5,0.7
2019,Morris,Urban Collector (Major and Minor),1015143,260,0.5,0.7
2019,Morris,Urban Local,2587182,1767,0.3,0.5
2019,Morris,Rural Interstate/Primary Arterial,57347,6,0.7,1
2019,Morris,Rural Minor Arterial,6938,1,0.5,0.7
2019,Morris,Rural Collector (Major and Minor),69003,27,0.5,0.7
2019,Morris,Rural Local,62566,97,0.3,0.5
2020,Morris,Urban Interstate/Freeway/Expressway,5443553,186,0.7,1
2020,Morris,Urban Primary Arterial,2378135,253,0.7,1
2020,Morris,Urban Minor Arterial,1504028,279,0.5,0.7
2020,Morris,Urban Collector (Major and Minor),917719,260,0.5,0.7
2020,Morris,Urban Local,2187730,1767,0.3,0.5
2020,Morris,Rural Interstate/Primary Arterial,52344,6,0.7,1
2020,Morris,Rural Minor Arterial,6349,1,0.5,0.7
2020,Morris,Rural Collector (Major and Minor),54678,27,0.5,0.7
2020,Morris,Rural Local,52143,97,0.3,0.5
2021,Morris,Urban Interstate/Freeway/Expressway,6166357,186,0.7,1
2021,Morris,Urban Primary Arterial,2616109,250,0.7,1
2021,Morris,Urban Minor Arterial,1707649,279,0.5,0.7
2021,Morris,Urban Collector (Major and Minor),899115,260,0.5,0.7
2021,Morris,Urban Local,2520579,1767,0.3,0.5
2021,Morris,Rural Interstate/Primary Arterial,52100,6,0.7,1
2021,Morris,Rural Minor Arterial,6628,1,0.5,0.7
2021,Morris,Rural Collector (Major and Minor),59945,27,0.5,0.7
2021,Morris,Rural Local,58354,97,0.3,0.5
2022,Morris,Urban Interstate/Freeway/Expressway,6456679,186,0.7,1
2022,Morris,Urban Primary Arterial,2689691,250,0.7,1
2022,Morris,Urban Minor Arterial,1676353,279,0.5,0.7
2022,Morris,Urban Collector (Major and Minor),845386,260,0.5,0.7
2022,Morris,Urban Local,2604838,1767,0.3,0.5
2022,Morris,Rural Interstate/Primary Arterial,54123,6,0.7,1
2022,Morris,Rural Minor Arterial,6614,1,0.5,0.7
2022,Morris,Rural Collector (Major and Minor),60605,27,0.5,0.7
2022,Morris,Rural Local,59580,97,0.3,0.5
2017,Ocean,Urban Interstate/Freeway/Expressway,3589588,144,0.7,1
2017,Ocean,Urban Primary Arterial,2998617,353,0.7,1
2017,Ocean,Urban Minor Arterial,2117975,199,0.5,0.7
2017,Ocean,Urban Collector (Major and Minor),848296,198,0.5,0.7
2017,Ocean,Urban Local,3392530,2251,0.3,0.5
2017,Ocean,Rural Interstate/Primary Arterial,175372,36,0.7,1
2017,Ocean,Rural Minor Arterial,39400,3,0.5,0.7
2017,Ocean,Rural Collector (Major and Minor),260028,47,0.5,0.7
2017,Ocean,Rural Local,75746,130,0.3,0.5
2018,Ocean,Urban Interstate/Freeway/Expressway,3574937,144,0.7,1
2018,Ocean,Urban Primary Arterial,2967972,353,0.7,1
2018,Ocean,Urban Minor Arterial,2125070,199,0.5,0.7
2018,Ocean,Urban Collector (Major and Minor),980223,198,0.5,0.7
2018,Ocean,Urban Local,3429105,2252,0.3,0.5
2018,Ocean,Rural Interstate/Primary Arterial,176146,36,0.7,1
2018,Ocean,Rural Minor Arterial,38841,3,0.5,0.7
2018,Ocean,Rural Collector (Major and Minor),249407,47,0.5,0.7
2018,Ocean,Rural Local,80806,130,0.3,0.5
2019,Ocean,Urban Interstate/Freeway/Expressway,3598369,144,0.7,1
2019,Ocean,Urban Primary Arterial,3051622,353,0.7,1
2019,Ocean,Urban Minor Arterial,2135812,199,0.5,0.7
2019,Ocean,Urban Collector (Major and Minor),996153,198,0.5,0.7
2019,Ocean,Urban Local,3297213,2252,0.3,0.5
2019,Ocean,Rural Interstate/Primary Arterial,176407,36,0.7,1
2019,Ocean,Rural Minor Arterial,39462,3,0.5,0.7
2019,Ocean,Rural Collector (Major and Minor),260189,47,0.5,0.7
2019,Ocean,Rural Local,84173,130,0.3,0.5
2020,Ocean,Urban Interstate/Freeway/Expressway,2953487,144,0.7,1
2020,Ocean,Urban Primary Arterial,2832407,353,0.7,1
2020,Ocean,Urban Minor Arterial,1970354,199,0.5,0.7
2020,Ocean,Urban Collector (Major and Minor),971823,198,0.5,0.7
2020,Ocean,Urban Local,2789620,2253,0.3,0.5
2020,Ocean,Rural Interstate/Primary Arterial,167980,36,0.7,1
2020,Ocean,Rural Minor Arterial,36031,3,0.5,0.7
2020,Ocean,Rural Collector (Major and Minor),240418,47,0.5,0.7
2020,Ocean,Rural Local,70151,130,0.3,0.5
2021,Ocean,Urban Interstate/Freeway/Expressway,3409672,144,0.7,1
2021,Ocean,Urban Primary Arterial,3118616,353,0.7,1
2021,Ocean,Urban Minor Arterial,2157586,199,0.5,0.7
2021,Ocean,Urban Collector (Major and Minor),944023,199,0.5,0.7
2021,Ocean,Urban Local,3214535,2253,0.3,0.5
2021,Ocean,Rural Interstate/Primary Arterial,193246,36,0.7,1
2021,Ocean,Rural Minor Arterial,38556,3,0.5,0.7
2021,Ocean,Rural Collector (Major and Minor),258685,47,0.5,0.7
2021,Ocean,Rural Local,56211,93,0.3,0.5
2022,Ocean,Urban Interstate/Freeway/Expressway,3453420,144,0.7,1
2022,Ocean,Urban Primary Arterial,2954575,352.5,0.7,1
2022,Ocean,Urban Minor Arterial,2251500,199,0.5,0.7
2022,Ocean,Urban Collector (Major and Minor),954677,199,0.5,0.7
2022,Ocean,Urban Local,3321879,2253,0.3,0.5
2022,Ocean,Rural Interstate/Primary Arterial,169998,36,0.7,1
2022,Ocean,Rural Minor Arterial,44393,3,0.5,0.7
2022,Ocean,Rural Collector (Major and Minor),245435,47,0.5,0.7
2022,Ocean,Rural Local,57391,93,0.3,0.5
2017,Passaic,Urban Interstate/Freeway/Expressway,2905277,90,0.7,1
2017,Passaic,Urban Primary Arterial,2302804,223,0.7,1
2017,Passaic,Urban Minor Arterial,885868,186,0.5,0.7
2017,Passaic,Urban Collector (Major and Minor),419176,113,0.5,0.7
2017,Passaic,Urban Local,1388177,921,0.3,0.5
2017,Passaic,Rural Interstate/Primary Arterial,0,0,0.7,1
2017,Passaic,Rural Minor Arterial,0,0,0.5,0.7
2017,Passaic,Rural Collector (Major and Minor),0,0,0.5,0.7
2017,Passaic,Rural Local,0,0,0.3,0.5
2018,Passaic,Urban Interstate/Freeway/Expressway,2861002,90,0.7,1
2018,Passaic,Urban Primary Arterial,2287180,223,0.7,1
2018,Passaic,Urban Minor Arterial,955656,186,0.5,0.7
2018,Passaic,Urban Collector (Major and Minor),441540,113,0.5,0.7
2018,Passaic,Urban Local,1403030,921,0.3,0.5
2018,Passaic,Rural Interstate/Primary Arterial,0,0,0.7,1
2018,Passaic,Rural Minor Arterial,0,0,0.5,0.7
2018,Passaic,Rural Collector (Major and Minor),0,0,0.5,0.7
2018,Passaic,Rural Local,0,0,0.3,0.5
2019,Passaic,Urban Interstate/Freeway/Expressway,2937334,90,0.7,1
2019,Passaic,Urban Primary Arterial,2301944,223,0.7,1
2019,Passaic,Urban Minor Arterial,977645,186,0.5,0.7
2019,Passaic,Urban Collector (Major and Minor),440709,113,0.5,0.7
2019,Passaic,Urban Local,1348765,921,0.3,0.5
2019,Passaic,Rural Interstate/Primary Arterial,0,0,0.7,1
2019,Passaic,Rural Minor Arterial,0,0,0.5,0.7
2019,Passaic,Rural Collector (Major and Minor),0,0,0.5,0.7
2019,Passaic,Rural Local,0,0,0.3,0.5
2020,Passaic,Urban Interstate/Freeway/Expressway,2674514,90,0.7,1
2020,Passaic,Urban Primary Arterial,2065910,223,0.7,1
2020,Passaic,Urban Minor Arterial,966930,186,0.5,0.7
2020,Passaic,Urban Collector (Major and Minor),419431,113,0.5,0.7
2020,Passaic,Urban Local,1140521,921,0.3,0.5
2020,Passaic,Rural Interstate/Primary Arterial,0,0,0.7,1
2020,Passaic,Rural Minor Arterial,0,0,0.5,0.7
2020,Passaic,Rural Collector (Major and Minor),0,0,0.5,0.7
2020,Passaic,Rural Local,0,0,0.3,0.5
2021,Passaic,Urban Interstate/Freeway/Expressway,2851597,90,0.7,1
